gene_id	accession_number	gene_desscritpion	X1C	X1O1	X1D1	X1OD1	X1O24	X1D24	X1OD24	X2C	X2O1	X2D1	X2OD1	X2O24	X2D24	X2OD24	X3C	X3O1	X3D1	X3OD1	X3O24	X3D24	X3OD24
TRINITY_DN378593_c8_g3	ACM07152	endoribonuclease_L-PSP_(plasmid)_[Thermomicrobium_roseum_DSM_5159]	0	0	0	0	0	12	0	0	0	0	11	6	26	0	0	0	0	0	11	0	0
TRINITY_DN393141_c5_g1	ACN98424	conserved_hypothetical_protein_[Sulfurihydrogenibium_azorense_Az-Fu1]<>ACN98841.1_conserved_hypothetical_protein_[Sulfurihydrogenibium_azorense_Az-Fu1]	11	10	0	0	6	0	0	9	0	8	6	0	0	0	9	0	0	0	23	16	0
TRINITY_DN392268_c1_g1	ACN98721	conserved_hypothetical_protein_[Sulfurihydrogenibium_azorense_Az-Fu1]	27	6	23	8	29	5	37	13	25	30	11	13	0	19	39	115	42	26	8	209	53
TRINITY_DN382295_c0_g1	ACO04175	conserved_hypothetical_protein_[Persephonella_marina_EX-H1]<>ACO04521.1_conserved_hypothetical_protein_[Persephonella_marina_EX-H1]	149	80	81	38	97	57	108	127	64	76	47	22	5	37	40	66	65	39	50	34	5
TRINITY_DN370329_c0_g2	ACO09375	Carbohydrate_sulfotransferase_D4ST1_[Osmerus_mordax]	0	5	0	0	16	14	13	0	0	0	52	41	17	42	0	0	0	0	15	18	19
TRINITY_DN384429_c10_g2	ACO11691	ORF91_[Caligus_rogercresseyi]	0	150	0	0	37	86	53	0	127	0	52	79	179	48	0	0	0	0	27	95	153
TRINITY_DN386499_c0_g3	ACO15087	60S_ribosomal_protein_L23a_[Caligus_clemensi]	318	510	369	798	491	457	458	344	597	369	770	1107	799	918	717	662	495	455	615	1017	1576
TRINITY_DN369834_c0_g1	ACR00040	cytochrome_c_oxidase_subunit_I_(mitochondrion)_[Pectinaria_gouldii]	7	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	9	0	9	0	0
TRINITY_DN399464_c2_g4	ACR22987	NADH_dehydrogenase_subunit_1,_partial_(mitochondrion)_[Phylo_foetida]	6	23	5	11	0	5	0	0	21	21	0	12	0	0	0	172	6	74	13	0	0
TRINITY_DN377285_c0_g4	ACR24949	ribosomal_protein_L21_[Lepidochitona_cinerea]	29	0	5	25	0	0	5	21	19	36	0	0	0	21	9	102	12	145	10	0	0
TRINITY_DN380849_c5_g1	ACS68547	AhpC/TSA_family_protein_[uncultured_bacterium_FLS18]	0	7	0	0	0	67	0	0	0	0	26	34	87	0	0	0	0	0	0	0	0
TRINITY_DN389314_c3_g3	ACS72281	ferritin-like_protein_[Pinctada_maxima]	0	0	0	0	0	5	0	0	0	0	0	7	0	20	0	0	0	0	0	5	7
TRINITY_DN389400_c6_g1	ACS96861	cell_wall-associated_hydrolase_[Aggregatibacter_aphrophilus_NJ8700]<>ACS96997.1_cell_wall-associated_hydrolase_[Aggregatibacter_aphrophilus_NJ8700]<>ACS97765.1_cell_wall-associated_hydrolase_[Aggregatibacter_aphrophilus_NJ8700]<>ACS98076.1_cell_wall-associated_hydrolase_[Aggregatibacter_aphrophilus_NJ8700]<>ACS98254.1_cell_wall-associated_hydrolase_[Aggregatibacter_aphrophilus_NJ8700]<>ACS98444.1_cell_wall-associated_hydrolase_[Aggregatibacter_aphrophilus_NJ8700]	139	189	92	63	147	280	163	95	211	88	378	585	482	177	84	146	118	79	153	412	415
TRINITY_DN397308_c2_g1	ACT20726	D-lactate_dehydrogenase_[Daphnia_pulex]	0	0	0	0	0	5	5	0	0	0	0	33	0	24	0	0	0	0	5	0	28
TRINITY_DN379164_c1_g1	ACU45247	HSP90,_partial_[Karlodinium_veneficum]	0	0	25	0	0	0	0	6	0	5	0	7	8	0	0	0	0	0	0	0	0
TRINITY_DN671563_c0_g1	ACV57051	Hypothetical_protein_Elen_3109_[Eggerthella_lenta_DSM_2243]<>EFV33220.1_isoleucyl-tRNA_synthetase_[Eggerthella_sp._1_3_56FAA]<>EGC88578.1_hypothetical_protein_HMPREF9404_4924_[Eggerthella_sp._HGA1]<>EQI04746.1_putative_isoleucyl-tRNA_synthetase_[Clostridioides_difficile_F501]<>KGI74409.1_hypothetical_protein_HMPREF9458_00676_[Eggerthella_lenta_1_1_60AFAA]	0	8	0	0	0	18	0	0	0	0	0	9	43	0	0	0	5	0	0	0	0
TRINITY_DN400295_c2_g1	ACX49741	sorbitol-6-phosphate_2-dehydrogenase_[uncultured_marine_bacterium_1n22]	0	17	0	0	0	23	7	0	30	0	19	42	30	6	0	0	0	0	9	73	5
TRINITY_DN391928_c8_g7	ACY17675	ferredoxin_thioredoxin_reductase_beta_chain_[Haliangium_ochraceum_DSM_14365]	0	0	0	0	0	33	0	0	0	0	18	30	49	0	0	0	0	0	9	0	0
TRINITY_DN378786_c5_g2	ACY25449	putative_PKD_domain_containing_protein_[uncultured_microorganism]	0	5	0	0	0	44	0	0	0	0	0	23	39	0	0	0	0	0	12	0	0
TRINITY_DN388333_c5_g1	ACY25452	protein_of_unknown_function_[uncultured_microorganism]	0	5	0	0	0	105	0	0	7	0	17	83	147	0	0	0	0	0	0	0	0
TRINITY_DN398283_c3_g3	ACY25452	protein_of_unknown_function_[uncultured_microorganism]	0	0	0	0	0	40	0	0	0	0	20	28	86	0	0	0	0	0	6	0	0
TRINITY_DN384083_c1_g2	ACY48486	hypothetical_protein_Rmar_1600_[Rhodothermus_marinus_DSM_4252]	0	5	0	0	0	28	8	0	17	0	117	44	38	5	0	0	0	0	15	0	14
TRINITY_DN388144_c1_g4	ACY66514	hypothetical_protein,_partial_[Scylla_paramamosain]	78	79	85	50	83	73	112	100	60	127	67	23	21	96	154	490	142	483	100	2131	225
TRINITY_DN396113_c1_g2	ACY66514	hypothetical_protein,_partial_[Scylla_paramamosain]	18	9	17	7	8	0	17	0	6	9	0	0	0	17	19	38	15	11	14	361	91
TRINITY_DN389057_c2_g5	ACY66592	hypothetical_protein,_partial_[Scylla_paramamosain]	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	56	12
TRINITY_DN380971_c1_g1	ACY71283	ribosomal_protein_S4_[Chrysomela_tremula]	9	35	16	21	18	0	15	33	12	38	14	0	0	0	10	76	21	110	0	0	0
TRINITY_DN398293_c1_g5	ACY92485	CASP-like_transcription_factor,_partial_[Saccoglossus_kowalevskii]	0	8	6	11	13	11	13	0	7	0	19	39	31	36	0	0	0	0	0	9	22
TRINITY_DN397371_c3_g11	ACZ38834	aldehyde_oxidase_and_xanthine_dehydrogenase_molybdopterin_binding_protein_[Sphaerobacter_thermophilus_DSM_20745]	0	0	0	0	0	81	0	0	12	0	16	45	144	0	0	0	0	0	29	0	0
TRINITY_DN371973_c6_g1	ADB16929	aconitate_hydratase_1_[Pirellula_staleyi_DSM_6068]	0	0	0	0	0	56	0	0	6	0	31	15	93	0	0	0	0	0	0	0	0
TRINITY_DN389996_c1_g4	ADB27774	putative_proteorhodopsin,_partial_[uncultured_Antarctic_sea_ice_bacterium]	47	54	111	34	58	31	32	47	37	84	55	26	20	55	20	25	28	33	16	0	0
TRINITY_DN279461_c0_g1	ADC29551	iroquois_homeodomain_protein_a_[Suberites_domuncula]	12	9	0	5	0	0	0	11	12	6	6	0	0	0	0	0	0	0	9	0	0
TRINITY_DN399591_c2_g6	ADC52431	cathepsin_L2_cysteine_protease_[Pinctada_fucata]	0	5	0	0	0	18	0	0	5	0	58	50	12	54	0	0	9	0	6	81	115
TRINITY_DN369085_c0_g3	ADE14438	transposase_IS4_family_protein_[Nitrosococcus_halophilus_Nc_4]	0	22	0	0	0	42	0	0	5	0	0	0	20	0	0	0	0	0	11	0	0
TRINITY_DN272122_c0_g1	ADG04942	ribosomal_protein_L24_[Kyrpidia_tusciae_DSM_2912]	0	0	0	0	0	19	0	0	5	0	9	26	21	0	0	0	0	0	0	0	0
TRINITY_DN388027_c0_g2	ADH59421	arginine_kinase_[Biomphalaria_glabrata]	6	0	0	13	5	0	6	16	0	21	0	6	0	0	0	168	7	99	0	0	0
TRINITY_DN372499_c0_g1	ADI16471	preprotein_translocase_subunit_secy_[uncultured_bacterium_HF4000_05M23]	0	0	0	0	0	56	0	0	0	0	31	39	80	0	0	0	0	0	7	0	0
TRINITY_DN379369_c6_g2	ADI16471	preprotein_translocase_subunit_secy_[uncultured_bacterium_HF4000_05M23]	5	0	0	0	0	30	0	0	0	0	12	28	47	0	0	0	0	0	18	0	0
TRINITY_DN380081_c6_g2	ADI16490	IMP_dehydrogenase/GMP_reductase_[uncultured_bacterium_HF4000_05M23]	0	0	0	0	0	51	0	0	0	0	26	7	63	0	0	0	0	0	14	0	0
TRINITY_DN380081_c6_g5	ADI16490	IMP_dehydrogenase/GMP_reductase_[uncultured_bacterium_HF4000_05M23]	0	0	0	0	0	35	0	0	0	0	6	19	37	0	0	0	0	0	5	0	0
TRINITY_DN387087_c7_g3	ADI16499	hypothetical_protein_[uncultured_bacterium_HF4000_05M23]	0	0	0	0	0	12	0	0	0	0	7	5	26	0	0	0	5	0	0	0	0
TRINITY_DN386406_c6_g3	ADI16517	hypothetical_protein_[uncultured_bacterium_HF4000_05M23]	0	10	0	0	0	30	0	0	0	0	22	156	55	0	0	0	0	0	25	0	0
TRINITY_DN399384_c2_g1	ADI16517	hypothetical_protein_[uncultured_bacterium_HF4000_05M23]	0	5	0	0	0	435	0	0	0	0	242	403	634	0	0	0	0	0	147	0	0
TRINITY_DN384695_c7_g1	ADI16575	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_01E20]	0	0	0	0	14	0	6	0	0	0	22	5	13	17	0	0	0	0	0	11	0
TRINITY_DN387954_c4_g1	ADI16623	hypothetical_protein_[uncultured_delta_proteobacterium_HF0010_01J10]	41	18	7	6	7	0	7	25	0	7	0	0	0	0	5	0	0	6	5	0	0
TRINITY_DN382940_c3_g3	ADI16715	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_05D02]	6	0	0	0	0	0	6	5	0	0	7	0	0	0	0	0	0	0	0	13	0
TRINITY_DN385909_c2_g4	ADI16715	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_05D02]	5	76	14	0	106	173	115	7	98	33	147	104	194	63	5	0	22	0	27	138	64
TRINITY_DN386004_c5_g4	ADI16715	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_05D02]	39	26	15	9	31	18	15	26	27	22	20	10	32	19	11	18	92	38	20	41	86
TRINITY_DN393524_c12_g1	ADI16715	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_05D02]	6	8	0	0	6	7	10	0	0	0	0	0	0	5	0	0	19	0	0	8	7
TRINITY_DN394119_c2_g3	ADI16715	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_05D02]	0	6	0	0	6	0	12	0	0	0	0	0	5	0	9	18	98	12	0	37	5
TRINITY_DN395639_c1_g2	ADI16715	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_05D02]	13	14	8	0	5	13	8	0	0	0	0	6	42	5	0	0	36	0	5	16	40
TRINITY_DN392862_c1_g2	ADI16723	hypothetical_protein_[uncultured_Verrucomicrobiales_bacterium_HF0010_05E02]	9	11	0	0	0	0	0	0	5	0	0	0	0	0	0	9	0	0	0	10	0
TRINITY_DN384695_c7_g11	ADI16883	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_16J05]	0	130	0	0	46	136	71	0	112	0	118	29	101	15	0	0	6	0	15	230	44
TRINITY_DN386004_c5_g6	ADI16883	hypothetical_protein_[uncultured_gamma_proteobacterium_HF0010_16J05]	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	5	62	6
TRINITY_DN378410_c5_g3	ADI16918	uncharacterized_protein_conserved_in_bacteria_[uncultured_gamma_proteobacterium_HF0010_16J05]	0	5	0	0	0	15	0	0	0	0	10	24	43	0	0	0	0	0	0	0	0
TRINITY_DN383210_c2_g2	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	12	62	5	0	20	702	7	0	47	11	142	922	1084	15	0	5	0	0	319	53	86
TRINITY_DN383746_c1_g4	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	11	18	0	0	13	30	27	0	47	0	29	28	45	7	0	5	0	0	0	88	64
TRINITY_DN384022_c8_g2	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	14	352	14	0	144	840	141	0	356	15	523	460	1320	146	0	0	14	0	113	463	399
TRINITY_DN386908_c12_g3	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	31	618	61	41	479	1423	398	0	888	59	572	874	2087	709	19	40	36	25	129	3001	3073
TRINITY_DN387183_c4_g2	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	67	1121	51	28	791	553	666	0	858	60	647	562	747	1298	23	37	35	29	273	4094	1508
TRINITY_DN388448_c2_g4	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	17	79	0	5	94	246	78	0	71	0	122	219	243	104	0	9	5	0	56	335	110
TRINITY_DN388448_c2_g6	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	0	6	0	10	9	5	0	0	0	0	9	26	0	0	7	0	0	5	35	26
TRINITY_DN388448_c3_g6	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	23	24	26	14	40	25	41	31	37	28	51	31	52	42	14	28	11	20	27	32	26
TRINITY_DN388448_c3_g9	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	12	0	0	10	20	14	0	5	0	31	0	29	6	0	0	0	0	6	13	0
TRINITY_DN388564_c5_g1	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	0	0	0	0	0	6	5	7	0	0	0	0	0	0	7	10	0	0	5	0
TRINITY_DN389087_c8_g7	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	0	5	0	0	12	0	0	0	0	13	15	23	7	0	0	0	0	0	0	0
TRINITY_DN389187_c3_g11	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	18	16	22	5	7	0	13	21	6	36	5	7	0	0	11	16	16	15	12	0	0
TRINITY_DN391036_c4_g4	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	80	0	0	29	78	50	0	59	0	35	59	160	45	0	0	0	0	25	123	105
TRINITY_DN391171_c4_g1	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	63	49	69	26	31	180	42	60	77	52	88	149	296	56	46	44	52	33	80	5	6
TRINITY_DN391759_c1_g3	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	162	924	132	80	941	1264	947	122	1562	144	1687	989	1655	870	98	169	171	79	375	2603	2585
TRINITY_DN391967_c3_g10	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	0	0	0	0	11	5	5	0	0	0	25	9	0	0	0	0	0	7	14	29
TRINITY_DN391967_c3_g4	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	6	0	0	0	6	0	5	0	0	5	0	0	9	0	0	0	0	0	6	20	7
TRINITY_DN395324_c7_g2	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	6	11	0	0	7	21	12	0	17	0	24	17	55	12	0	0	0	0	5	85	5
TRINITY_DN396684_c7_g4	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	40	45	42	6	23	18	51	62	37	58	15	0	30	34	31	24	25	22	50	0	0
TRINITY_DN397583_c6_g1	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	49	926	38	13	425	1627	420	13	940	47	982	653	1887	474	21	35	44	31	250	1905	974
TRINITY_DN398450_c4_g1	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	0	18	0	0	0	5	0	0	10	0	5	11	13	5	0	0	0	0	0	18	99
TRINITY_DN398450_c4_g3	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	50	79	58	48	41	243	67	55	86	52	80	373	330	54	44	32	46	39	153	33	35
TRINITY_DN401269_c47_g1	ADI17229	hypothetical_protein,_partial_[uncultured_alpha_proteobacterium_HF0070_14E07]	417	471	347	201	512	192	665	408	553	306	366	213	135	886	243	212	272	391	284	1353	195
TRINITY_DN380431_c10_g1	ADI17460	hypothetical_protein_[uncultured_beta_proteobacterium_HF0130_04F21]	455	426	593	220	531	808	557	483	559	740	344	274	557	459	339	697	438	306	406	831	250
TRINITY_DN397669_c6_g2	ADI17495	hypothetical_protein_[uncultured_bacterium_HF0130_06E03]	13	123	34	30	102	330	118	11	162	31	350	534	722	148	6	11	20	11	95	1092	345
TRINITY_DN379691_c12_g1	ADI17501	hypothetical_protein_[uncultured_bacterium_HF0130_06E03]	0	0	0	0	0	17	0	0	5	0	8	29	33	0	0	0	0	0	0	0	0
TRINITY_DN395471_c3_g1	ADI17503	outer_membrane_protein/protective_antigen_oma87_[uncultured_bacterium_HF0130_06E03]	0	50	0	0	21	451	5	0	33	0	227	392	642	0	0	0	0	0	0	0	0
TRINITY_DN395471_c3_g2	ADI17503	outer_membrane_protein/protective_antigen_oma87_[uncultured_bacterium_HF0130_06E03]	0	0	0	0	0	124	0	0	0	6	62	129	213	0	0	0	0	0	0	0	0
TRINITY_DN389668_c4_g1	ADI17509	protein_chain_release_factor_b_[uncultured_bacterium_HF0130_06E03]	0	0	0	0	0	47	0	0	6	0	22	16	83	0	0	0	0	0	0	0	0
TRINITY_DN382977_c5_g3	ADI17513	DNA_segregation_ATPase_ftsK/spoIIIE_and_related_proteins_[uncultured_bacterium_HF0130_06E03]	0	0	0	0	0	30	0	0	19	0	36	46	32	0	0	0	0	0	0	5	0
TRINITY_DN400114_c4_g1	ADI17520	hypothetical_protein_[uncultured_bacterium_HF0130_06E03]	0	5	0	0	0	200	0	0	6	0	176	308	368	0	0	0	0	0	0	0	0
TRINITY_DN389158_c7_g1	ADI17521	hypothetical_protein_[uncultured_bacterium_HF0130_06E03]	0	30	0	0	0	209	0	0	14	0	110	155	301	6	0	0	5	0	17	10	0
TRINITY_DN401332_c10_g2	ADI17521	hypothetical_protein_[uncultured_bacterium_HF0130_06E03]	0	62	0	0	0	556	0	0	48	0	432	520	1014	0	0	0	0	0	45	0	0
TRINITY_DN382576_c0_g1	ADI17561	hypothetical_protein_[uncultured_alpha_proteobacterium_HF0130_06E21]	0	0	0	0	0	19	10	0	6	0	14	7	23	0	0	0	0	0	7	17	20
TRINITY_DN376571_c5_g1	ADI17622	hypothetical_protein_[uncultured_delta_proteobacterium_HF0130_19C20]	0	6	0	0	9	83	31	0	5	0	26	60	155	19	0	11	0	0	38	119	46
TRINITY_DN382659_c2_g1	ADI17622	hypothetical_protein_[uncultured_delta_proteobacterium_HF0130_19C20]	0	35	0	0	83	116	59	0	53	0	37	59	201	39	0	11	14	7	39	204	108
TRINITY_DN395990_c7_g1	ADI17622	hypothetical_protein_[uncultured_delta_proteobacterium_HF0130_19C20]	0	34	0	0	33	60	60	0	40	0	96	201	89	26	0	0	0	0	42	212	49
TRINITY_DN362519_c0_g1	ADI17873	glutamate_synthase_domain_2_[uncultured_Chloroflexi_bacterium_HF0200_06I16]	0	0	0	0	0	35	0	0	0	0	7	0	40	0	0	0	0	0	5	5	0
TRINITY_DN377547_c8_g1	ADI17873	glutamate_synthase_domain_2_[uncultured_Chloroflexi_bacterium_HF0200_06I16]	0	0	0	0	0	23	0	0	0	0	24	11	34	0	0	0	0	0	13	0	0
TRINITY_DN401020_c6_g1	ADI17873	glutamate_synthase_domain_2_[uncultured_Chloroflexi_bacterium_HF0200_06I16]	0	0	0	0	0	16	0	0	0	0	13	27	34	0	0	0	0	0	21	0	0
TRINITY_DN390997_c4_g1	ADI17897	pyruvate/2-oxoglutarate_dehydrogenase_complex,_dihydrolipoamide_acyltransferase_(e2)_component,_and_related_enzymes_[uncultured_Chloroflexi_bacterium_HF0200_06I16]	0	0	0	0	0	123	0	0	0	0	18	98	251	0	0	0	0	0	10	0	0
TRINITY_DN383998_c5_g4	ADI17933	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	0	0	0	0	0	9	0	0	5	0	13	11	23	0	0	0	0	0	6	0	6
TRINITY_DN389327_c3_g1	ADI17933	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	0	7	10	0	0	6	0	0	0	7	6	0	0	0	20	40	0	7	0	35	6
TRINITY_DN391435_c0_g11	ADI17933	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	26	760	21	23	558	1310	558	0	698	17	534	1065	1228	661	10	16	40	9	167	1363	1274
TRINITY_DN381433_c5_g3	ADI17934	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	136	1709	109	66	1015	1074	906	0	1852	100	1577	724	1639	1056	41	58	90	74	475	7314	3869
TRINITY_DN389225_c0_g3	ADI17934	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	10	78	11	0	46	343	24	0	95	17	176	349	473	37	6	7	0	5	34	292	172
TRINITY_DN391943_c3_g6	ADI17934	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	6	113	0	7	40	60	53	0	152	0	60	88	49	33	0	0	13	0	35	688	395
TRINITY_DN399069_c4_g1	ADI17935	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	0	19	0	0	0	50	0	0	12	5	6	72	102	5	0	0	0	0	0	16	0
TRINITY_DN389087_c8_g1	ADI17936	hypothetical_protein_[uncultured_Desulfobacterales_bacterium_HF0200_07G10]	0	0	0	0	0	41	0	0	8	0	34	69	119	0	0	0	0	0	10	0	0
TRINITY_DN378738_c7_g1	ADI17964	hypothetical_protein_[uncultured_Chloroflexi_bacterium_HF0200_09I09]	12	466	0	0	324	985	313	0	418	5	474	1333	1455	222	0	12	0	11	644	1110	424
TRINITY_DN389702_c4_g8	ADI17968	hypothetical_protein_[uncultured_Chloroflexi_bacterium_HF0200_09I09]	0	5	0	0	0	109	6	0	9	0	24	78	185	6	0	0	0	0	5	16	0
TRINITY_DN385672_c6_g1	ADI17969	hypothetical_protein_[uncultured_Chloroflexi_bacterium_HF0200_09I09]	0	0	0	0	0	11	0	0	0	0	21	18	21	0	0	0	0	0	12	0	0
TRINITY_DN375811_c3_g1	ADI17970	hypothetical_protein_[uncultured_Chloroflexi_bacterium_HF0200_09I09]	0	0	0	0	0	80	15	0	0	0	0	150	121	6	0	0	0	0	5	54	0
TRINITY_DN379035_c6_g1	ADI17970	hypothetical_protein_[uncultured_Chloroflexi_bacterium_HF0200_09I09]	0	98	0	0	0	54	0	0	87	0	36	258	87	0	0	0	0	0	22	0	0
TRINITY_DN375988_c11_g1	ADI18019	hypothetical_protein_[uncultured_delta_proteobacterium_HF0200_19J16]	0	5	0	0	9	29	0	0	10	0	11	40	53	0	0	0	0	0	5	54	19
TRINITY_DN383556_c3_g2	ADI18019	hypothetical_protein_[uncultured_delta_proteobacterium_HF0200_19J16]	7	5	0	0	7	6	0	0	0	0	0	0	23	0	0	0	6	0	0	38	14
TRINITY_DN389457_c6_g4	ADI18019	hypothetical_protein_[uncultured_delta_proteobacterium_HF0200_19J16]	913	8223	807	574	3433	2126	4005	27	7432	929	14166	5580	2871	3989	417	490	740	548	2935	62858	12287
TRINITY_DN395057_c5_g1	ADI18019	hypothetical_protein_[uncultured_delta_proteobacterium_HF0200_19J16]	0	84	5	0	54	154	51	0	64	6	312	319	458	46	0	8	0	0	68	483	117
TRINITY_DN397669_c6_g1	ADI18019	hypothetical_protein_[uncultured_delta_proteobacterium_HF0200_19J16]	13	60	7	5	38	14	31	0	40	5	112	11	107	20	0	6	0	0	13	443	118
TRINITY_DN385507_c7_g1	ADI18074	ATP-dependent_zn_proteases_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	6	0	0	0	23	0	0	0	0	27	18	41	0	0	0	0	0	0	6	0
TRINITY_DN387258_c2_g2	ADI18103	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	16	0	0	8	42	0	0	30	0	56	52	73	5	0	0	0	0	12	38	19
TRINITY_DN387407_c1_g2	ADI18103	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	0	0	0	7	8	0	0	10	0	9	6	15	12	0	0	0	0	8	11	6
TRINITY_DN382850_c3_g1	ADI18104	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	8	129	5	0	84	348	77	0	163	5	410	363	629	88	0	0	0	0	94	391	403
TRINITY_DN386569_c9_g5	ADI18104	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	29	0	0	78	438	71	0	36	8	218	225	715	38	0	0	0	0	52	297	177
TRINITY_DN386569_c9_g4	ADI18105	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	9	58	14	0	22	1379	43	0	74	6	444	516	1595	52	0	8	9	0	251	57	56
TRINITY_DN387183_c4_g1	ADI18106	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	6	74	6	8	55	176	101	0	171	10	164	140	342	82	7	14	13	0	35	795	442
TRINITY_DN397192_c3_g2	ADI18106	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	37	5	0	58	166	55	0	71	6	140	95	322	46	0	0	0	5	25	190	129
TRINITY_DN378683_c5_g6	ADI18109	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	14	13	5	12	6	5	0	15	12	20	8	6	0	0	0	8	19	0	7	33	0
TRINITY_DN384112_c3_g2	ADI18109	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	108	0	0	43	0	32	0	56	0	21	0	8	40	0	12	0	0	8	15	38
TRINITY_DN384807_c7_g3	ADI18109	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	25	8	39	0	16	12	25	19	10	10	0	0	0	35	11	42	48	14	20	129	27
TRINITY_DN386614_c2_g1	ADI18109	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	0	7	16	0	0	0	0	0	0	8	0	0	0	0	13	15	106	12	0	81	28
TRINITY_DN395839_c5_g1	ADI18109	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	6	17	5	0	28	130	14	0	34	0	231	90	262	39	0	0	0	0	27	160	398
TRINITY_DN397669_c6_g5	ADI18109	hypothetical_protein_[uncultured_Acidobacteriales_bacterium_HF0200_23L05]	13	0	0	0	0	0	10	8	19	0	0	0	0	0	7	0	5	0	0	0	41
TRINITY_DN394058_c1_g1	ADI18134	hypothetical_protein_[uncultured_Verrucomicrobiales_bacterium_HF0200_39L05]	0	19	0	0	19	42	13	0	41	0	30	25	82	21	0	0	0	0	6	111	36
TRINITY_DN384640_c8_g2	ADI18136	hypothetical_protein_[uncultured_Verrucomicrobiales_bacterium_HF0200_39L05]	7	18	0	0	9	27	25	0	36	0	19	23	49	34	0	0	0	0	6	123	32
TRINITY_DN396080_c1_g2	ADI18196	hypothetical_protein_[uncultured_delta_proteobacterium_HF0200_39N20]	0	0	0	0	0	0	12	0	0	0	0	0	0	0	15	27	6	6	8	86	16
